Сегмент;Приор;Компания;Страна;Что делает;Сайт;Email;Телефон;Статус;Дата;Ответ/КП
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★;OGA Sistem Sdn Bhd (подразделение OSRE — OGA Sistem Rotor Equipments);Малайзия;Заявлены ремонт HGP-компонентов ГТУ и — что важнее — конструирование и изготовление НОВЫХ деталей горячей и холодной части: «Combustion hard;https://ogasistem.com/;info@ogasistem.com, sales@ogasistem.com;+60 3-3342 4050, +60 3-3341 4264;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★;TNB Repair and Maintenance Sdn. Bhd. (TNB REMACO);Малайзия;Собственный Repair Centre восстанавливает вращающиеся, статорные и корпусные детали, включая компоненты горячего тракта: «Hot Gas / Steam Pa;https://www.tnbremaco.com.my/;remaco@tnb.com.my;+60 3-7964 2600, факс +60 3-7964 2699 / 2698;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);★;Aztek Enerji A.Ş.;Турция;Единственная найденная в Турции компания, прямо заявляющая собственное производство компонентов горячего газового тракта (hot gas path) и ко;https://a-ztek.com/turbomachinery-parts/ (редирект на aztekenerji.com);aztek@aztekenerji.com;+90 216 629 93 33;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);;GLF Turbine S.r.l.;Италия;Профильный производитель горячей части: камеры сгорания и жаровые трубы (C&L), transition pieces (TP), сопловые аппараты (nozzles). Бывший ц;http://www.glfturbine.com;info@glfturbine.com;+39 071 97491 (факс +39 071 9749205);;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);;Remazel Engineering S.p.A.;Италия;Исторический производитель камер сгорания промышленных ГТУ: производство Hot Gas Path Components для «combustion sector», сварка и мехобрабо;https://remazel.com;не найдено (только форма на remazel.com/contact/);+39 035 0693111 (факс +39 035 687823);;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);;Allied Power Group (APG);США;Независимый производитель и ремонтник деталей камеры сгорания промышленных ГТУ — собственный завод на Farrell Road в Хьюстоне делает combust;https://alliedpg.com/;sales@alliedpg.com;+1 281 444 3535;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);;Fern Engineering, Inc.;США;Узкоспециализированное предприятие, чей отдельный цех занят ИСКЛЮЧИТЕЛЬНО восстановлением топливных форсунок ГТУ и других деталей камеры сго;https://www.fernengineering.com;mail@fernengineering.com;+1 508-563-7181;;;
СЕГМЕНТ 1 — Камеры сгорания и DLE-горелки (ПРЯМАЯ ЦЕЛЬ: MW21215M + MW22316B/01);;Franke Industrie AG (Franke Group);Швейцария;Один из ключевых европейских контрактных производителей деталей КАМЕРЫ СГОРАНИЯ промышленных ГТУ: делает горячую часть, рассчитанную на 1200;https://www.frankeindustries.com;industrie-info.ch@franke.com;+41 62 787 31 31;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);★;PTC Industries Ltd. / дочерняя Aerolloy Technologies Ltd.;Индия;Единственная в Индии литейка, освоившая МОНОКРИСТАЛЛИЧЕСКОЕ (SC) и направленно-кристаллизованное (DS) литьё лопаток и сопловых лопаток — пря;https://www.ptcil.com;sales@ptcil.com;+91 522 711 1017;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);★;Dongying Hengxin Turbomachinery Co., Ltd. (HXT);Китай;Самое точное совпадение по НОМЕНКЛАТУРЕ И СПЛАВАМ горячей части промышленных ГТУ: отливают turbine blades, guide vanes, nozzles & nozzle rin;https://investmentcasting.en.made-in-china.com/;;;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);★;Jiangsu Suvast Special Alloy Technology Co., Ltd. (江苏永瀚特种合金技术股份有限公司, Jiangsu Yonghan);Китай;Профильный игрок ровно по нужному сегменту: отливки горячей части ГТУ и авиадвигателей — охлаждаемые рабочие лопатки (cooled turbine blade) ;http://www.suvast.com / http://en.suvast.com;;;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);★;成都航宇超合金技术有限公司 (Chengdu Aerospace Superalloy Technology Co., Ltd., бренд CAST);Китай;Единственный из найденных, кто закрывает ВЕСЬ цикл по горячей детали внутри одной площадки: выплавка жаропрочного сплава → литьё монокристал;https://www.sccast.com/;cast@sccast.com;+86-28-60612629 (факс +86-28-60612630);;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);★;江苏永瀚特种合金技术股份有限公司 (Jiangsu Yonghan Special Alloy Technology Co., Ltd.);Китай;Профильный производитель равноосных, направленно-кристаллизованных (DS) и монокристаллических (SX) турбинных лопаток и ДРУГИХ ГОРЯЧИХ ДЕТАЛЕ;не найдено (публичный корпоративный сайт не обнаружен);;;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);★;沈阳中科三耐新材料股份有限公司 (Shenyang Zhongke Sannai New Materials Co., Ltd., NEEQ 430513);Китай;Прямое попадание по классу мощности: в списке основной продукции отдельной строкой стоят «ГОРЯЧИЕ ТУРБИННЫЕ ЛОПАТКИ МАЛЫХ И СРЕДНИХ ГТУ» — э;http://www.zksn.com/;"jcpdyz@163.com (отдел кадров; коммерческий e-mail не опубликован)";+86-24-23748813 (общий), +86-24-23748888;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);★;SUNG-IL Turbine Co., Ltd. ((주)성일터빈);Южная Корея;Прямой профиль под нашу задачу: изготовление деталей камеры сгорания (Combustor Basket), корпусов горячего тракта (Hot Gas Casing upper/lowe;http://www.sungiltbn.com/ (англ. версия http://eng.sungiltbn.com/);sgt@sungiltbn.com;+82-51-930-8900 (также +82-51-951-7500), факс +82-51-951-7600;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);•;Godrej Enterprises Group — подразделение Godrej Aerospace (Godrej & Boyce Mfg. Co. Ltd.);Индия;Единственная частная компания Индии, подтверждённо изготавливающая ВСЕ модули газотурбинного двигателя, включая КАМЕРУ СГОРАНИЯ (combustor) ;https://www.godrejenterprises.com/aerospace;web.aerospace@godrej.com;+91 22 6796 2856;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);•;Anhui Yingliu Electromechanical Co., Ltd. / Yingliu Group (安徽应流机电股份有限公司 / 应流集团, SSE 603308);Китай;"Публичная компания, где «авиадвигатели / газовые турбины» заявлены как ключевое направление бизнеса; входит в перечень крупнейших производит";http://www.yingliugroup.com;;+86-564-5036612;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);•;Neway Precision Works Ltd. (NewayAeroTech);Китай;Единственный найденный игрок, который в одном месте заявляет и SX/DS-литьё лопаток, сопловых аппаратов (NGV) и охлаждаемых деталей горячей ч;https://www.newayaerotech.com;clyde.he@newayprecision.com;+86 189 2678 8217;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);•;Shandong Yili Power Technology Co., Ltd. (山东益利动力科技有限公司);Китай;Специализируется на горячих деталях турбомашин: gas turbine blades, nozzle guide vanes (NGV), nozzle rings, turbine wheels, turbine discs. С;https://www.yilipower.com / http://www.yilicasting.com;;;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);•;Taiyuan Simis Investment Casting Co., Ltd (太原西米斯精密铸造);Китай;Специализированная литейка по СОПЛОВЫМ АППАРАТАМ (nozzle guide vanes) — у них это выделено в отдельную товарную позицию с описанием функции ;https://www.simis-casting.com/;market@investment-casting.biz;+86-186-3510-8523;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);•;Weifang Boyuan Power Technology Co., Ltd. (潍坊博源动力科技有限公司);Китай;Отливает сопловые/направляющие аппараты (nozzle guide vane, stator vane), рабочие лопатки, сопловые кольца из жаропрочных сплавов. Прямо зая;https://www.boyuancasting.com;info@boyuancasting.com;+86 536 4650168;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);•;Wuxi Jinye Precision Casting Co., Ltd. (无锡金冶精密铸造有限公司);Китай;В номенклатуре прямо: «Gas turbine blades, turbine blades, turbine discs, nozzles and guide vanes» — т.е. лопатки и сопловые аппараты ГТУ. О;https://blacast.en.made-in-china.com/;;;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);•;Jiangsu Tunan Alloy Co., Ltd. (江苏图南合金股份有限公司, Toland Alloy, SZSE 300855);Китай;Одна из немногих компаний КНР с полным циклом: и деформируемые, и литейные жаропрочные сплавы (мастер-сплав + прецизионные отливки). На сайт;https://www.toland-alloy.com;;;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);•;JINYOUNG TBX Co., Ltd. (진영티비엑스(주));Южная Корея;Производитель лопаток и сопловых аппаратов с 1982 г.: blades, nozzles, diaphragms, labyrinth seals, impellers/blisks для газовых и паровых т;http://www.blade-korea.com/;blade@tbx.co.kr;+82-55-295-2801, факс +82-55-292-8253;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);;Doncasters Group (DPC Holdings PLC);Великобритания;Один из немногих независимых от Siemens изготовителей, у которого в номенклатуре прямо перечислен весь комплект деталей камеры сгорания — co;https://www.doncasters.com;не найдено (адреса на сайте закрыты Cloudflare email-protection);"+44 (0)115 663 0139 (UK Group Enquiries); +44 (0)1460 260600 (Chard); +44 (0)1905 825500 (Droitwich); +49 (0)234 6221 (Bochum)";;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);;Chromalloy (Chromalloy Gas Turbine LLC);США;Крупнейший в мире независимый поставщик замещающих деталей для ГТУ (авиация + наземные промышленные). Программа LifeX / PMA — прямая non-OEM;https://www.chromalloy.com;"не найдено (обратная связь через форму на /contact-us/; персональные ссылки «Contact <имя>» ведут на форму)";"+1 561 935 3571 (HQ); +1 813 885 4781 (Tampa Casting COE); +1 775 687 8833 (Carson City); +1 210 331 2300 (San Antonio)";;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);;Consolidated Precision Products Corp. (CPP);США;Один из двух-трёх независимых от Siemens/GE производителей отливок горячей части для ПРОМЫШЛЕННЫХ ГТУ (рынок IGT выделен на сайте в отдельну;https://www.cppcorp.com;не найдено (на сайте только форма /contact);;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);;Rapid Precision Castings (DDM Systems, Inc.);США;Независимая литейка горячей части: отливают ЛОПАТКИ турбины, СОПЛОВЫЕ АППАРАТЫ (nozzle guide vanes), ТОПЛИВНЫЕ ФОРСУНКИ (fuel nozzles), дета;https://rapidprecisioncastings.com;support@rapidprecisioncastings.com;+1 470-225-6987;;;
СЕГМЕНТ 2 — Лопатки и сопловые аппараты (литьё суперсплавов);;Turbine Casting SAS;Франция;Редкий актив для локализации: позиционирует себя как единственное в Европе НЕЗАВИСИМОЕ литейное производство по выплавляемым моделям, отлива;https://www.turbine-casting.com;contact@turbine-casting.com;+33 3 85 77 14 36;;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);★ ТАМОЖНЯ;Sifco Applied Surface Concepts;США (Огайо);Селективное гальванопокрытие (brush plating) — восстановление корпусов и деталей горячей части;sifcoasc.com;не найдено;не найдено;;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);★;广州三鑫金属科技有限公司 (Guangzhou Sanxin Metal Technology Co., Ltd.);Китай;Самое точное попадание по КАМЕРЕ СГОРАНИЯ среди найденных: в перечне отраслевых применений прямым текстом стоит «жаростойкие защитные покрыт;https://www.sx020.com/;sanxinspray@163.com (доп. 496561257@qq.com);+86-20-84836251, моб. +86-136-5094-6263;;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);•;Plasma Spray Processors;Индия;Индийский подрядный цех термического напыления, работающий по деталям заказчика без минимальной партии — потенциально самый дешёвый вариант ;https://www.plasmaspray.co.in/;не найдено (на сайте адрес замаскирован);"+91 98207 18722; +91 98202 31088";;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);•;PT Nusantara Turbin dan Propulsi (NTP);Индонезия;Один из крупнейших независимых MRO-центров ЮВА по ГТУ и вращающемуся оборудованию (бывш. Universal Maintenance Center в составе IPTN/PT Dirg;https://www.ntp.id/;;"+62-22-6031985, +62-22-6045656; факс +62-22-6031851, +62-22-6037747";;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);•;Serviturbinas SAS;Колумбия;29 лет опыта, сервисный центр по газовым и паровым турбинам. Заявленный набор ровно под задачу: ремонт критических компонентов, СПЕЦИАЛЬНЫЕ ;https://serviturbinas.com/;Luis.henriquez@serviturbinas.com;"+57 601 896 6456; +57 313 278 8467";;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);•;Turboaleaciones S.A. de C.V.;Мексика;Прямо заявляют работу по горячей части промышленных ГТУ: 'Mantenimiento de partes calientes' (обслуживание горячих деталей) и 'Modernización;http://turboaleaciones.com/;"ventas@turboaleaciones.com; contacto@turboaleaciones.com";"+52 352 526 9004 (Ла-Пьедад); +52 993 315 4704 (CISOP, Вильяэрмоса)";;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);•;Especialistas en Turbopartes S.A. de C.V. (ETU);Мексика;Специализированный производитель и восстановитель деталей турбомашин ('Especialistas en Turbopartes'): 'diseño, fabricación y rehabilitación;https://www.etu.mx/;не найдено (форма обратной связи на сайте);+52 442 220 6895;;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);;Indestructible Paint Ltd;Великобритания;Британский производитель высокотемпературных покрытий, у которого 'gas turbines & power generation' указан ключевым сектором. Специализация ;https://www.indestructible.co.uk/;sales@indestructible.co.uk;+44 121 702 2485;;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);;Linde Advanced Material Technologies (бывш. Praxair Surface Technologies / Sermatech);Германия / Италия / Франция / Индия / Сингапур / Ю. Корея / Великобритания / США;Крупнейшая мировая сеть подрядных покрытий для ГТУ, наследник Praxair Surface Technologies и бренда Sermatech (алюминиево-керамические покры;https://www.linde-amt.com/global-coating-services;не найдено (только форма на /contact-us);;;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);;ATLA S.r.l.;Италия;Независимый подрядчик по спецпроцессам и покрытиям для изготовления и ремонта деталей ГТУ: пионер в ремонте и спецпроцессах на лопатках и со;https://www.atla.it;infoatla@atla.it;+39 011 9472346 (факс +39 011 9490409);;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);;Flame Spray S.p.A. (Flame Spray Group);Италия;Один из немногих европейских подрядчиков, кто открыто держит 'Gas Turbines' отдельной строкой в форме запроса и заявляет работу с крупногаба;https://www.flamespray.org/;info@flamespray.org;"+39 039 695 7216 (Roncello, HQ); +36 28 514 175 (Венгрия); +966 13 896 9545 (Саудовская Аравия)";;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);;Lincotek Rubbiano S.p.A. (бывш. Turbocoating S.p.A.);Италия;Ключевой европейский узел по покрытиям горячей части промышленных ГТУ: MCrAlY методами VPS/LPPS/HVOF, YSZ/TBC методом APS, CVD-алитирование,;https://www.turbocoating.com / https://lincoteksurfacesolutions.com;"sales.surfacesolutions.EMEA@lincotek.com; surfacesolutions.EMEA@lincotek.com";+39 0525 305811 (факс +39 0525 305812);;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);;Lincotek Surface Solutions (бывш. Turbocoating S.p.A.);Италия;Классический европейский подрядчик по покрытиям горячей части ГТУ, тот самый Turbocoating из Пармы (домен turbocoating.com редиректит на lin;https://www.lincotek.com/surface-treatments/;sales.surfacesolutions.EMEA@lincotek.com;+39 0525 305808;;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);;Liburdi Turbine Services (Liburdi Engineering Limited);Канада;Прямое попадание в линейку SGT-400. На странице поддерживаемых двигателей Ruston перечислены Cyclone, Tornado, Typhoon, TA2500/1750, TB4000,;https://www.liburditurbineservices.com/;info@liburditurbineservices.com;"+1 905 689 0734; 1-800-991-2100";;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);;Aerobraze Engineered Technologies — подразделение Wall Colmonoy Corporation;США;Технологический подрядчик по деталям горячей части, а не поставщик каталожных номеров. Заявлено «полное изготовление и ремонт деталей турбин;https://metals.wallcolmonoy.com/products-capabilities/aerobraze-cincinnati;не найдено (запрос через форму Request a Quote на wallcolmonoy.com);;;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);;Hitemco (Lincotek Surface Solutions US);США;Американская площадка группы Lincotek с отдельным брендом и собственным сбытом. Заявлены 'Thermal Spray and Diffusion Coatings': HVOF, плазм;https://www.hitemco.com/;sales@hitemco.com;+1 516 752 7882;;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);;Chromalloy Gas Turbine LLC;США / Великобритания / Нидерланды / Таиланд / Мексика;Крупнейший независимый производитель PMA-деталей газового тракта и подрядчик по продвинутым ремонтам и покрытиям для ГТУ. Отдельное направле;https://www.chromalloy.com/;не найдено (форма обратной связи + именные формы менеджеров);"+1 561 935 3571 (HQ); +44 141 945 7000 (Glasgow); +1 813 885 4781 (литейный центр Tampa)";;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);;Oerlikon Metco;Швейцария / Китай / глобально;Мировой стандарт по материалам для термобарьерных покрытий (YSZ) и MCrAlY-порошкам плюс собственная сеть Coating Services, куда можно отдать;https://www.oerlikon.com/metco/en/products-services/coating-services/;;+86 139 1859 0845 (Shanghai);;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);;HODEN SEIMITSU KAKO KENKYUSHO CO., LTD. (HSK);Япония;Профильный японский поставщик деталей промышленных ГТУ: электроэрозионная и электрохимическая обработка (EDM/ECM) — то есть охлаждающие отве;https://www.hsk.co.jp/en/;не найдено (только форма Contact Us на сайте);+81-45-277-0330 (головной офис), факс +81-45-565-9177;;;
СЕГМЕНТ 3 — Покрытия горячей части (TBC / MCrAlY / диффузионные);;TOCALO Co., Ltd. (トーカロ株式会社);Япония / Китай;Крупнейший в Японии универсальный подрядчик по термическому напылению, работающий именно как job shop (детали заказчика). Технологический на;https://www.tocalo.co.jp/english/;не найдено (только форма /contact/technical/);"+81 78 303 3433 (HQ Kobe); +86 20 8298 6789 (завод в Гуанчжоу)";;;
СЕГМЕНТ 4 — Материалы (лист/пруток/поковки Hastelloy X, Nimonic 263);★;Wuxi Turbine Blade Co., Ltd. (WTB, 无锡透平叶片有限公司);Китай;"Крупнейший в КНР производитель лопаток энергетических турбин, включая ГТУ; дочерняя компания Shanghai Prime Machinery (Shanghai Electric). П";https://www.turblade.com;marketing@turblade.com;+86-510-85764673;;;
СЕГМЕНТ 4 — Материалы (лист/пруток/поковки Hastelloy X, Nimonic 263);•;NeoNickel (NeoNickel Ltd);Великобритания;Держит на складе именно те марки и толщины, из которых делаются листовые детали горячего тракта, и сам сайт называет применения дословно тем;https://www.neonickel.com;не найдено (адреса на сайте скрыты защитой от парсинга);"+44 (0)1254 582 999 (Blackburn); +44 (0)1384 282 400 (Kingswinford); +44 (0)1908 275 700 (Milton Keynes)";;;
СЕГМЕНТ 4 — Материалы (лист/пруток/поковки Hastelloy X, Nimonic 263);•;VDM Metals GmbH;Германия;Европейский аналог Haynes: даёт полный набор листовых материалов горячего тракта под SGT-линейку — VDM Alloy X (2.4665 / N06002 / Nicrofer 4;https://vdm-metals.com;vdm@vdm-metals.com;;;;
СЕГМЕНТ 4 — Материалы (лист/пруток/поковки Hastelloy X, Nimonic 263);•;Bharat Forge Ltd. (Kalyani Group);Индия;Строит первый в Индии частный комплекс ремонта и капремонта газовых турбин. В составе первой очереди прямо заявлено ВОССТАНОВЛЕНИЕ ГОРЯЧЕЙ Ч;https://www.bharatforge.com;;;;;
СЕГМЕНТ 4 — Материалы (лист/пруток/поковки Hastelloy X, Nimonic 263);•;Danyang HB Special Alloy Co., Ltd. (丹阳恒博特种合金有限公司, HB-NICKEL ALLOY);Китай;Материальная база под ЖАРОВЫЕ ТРУБЫ И КАМЕРУ СГОРАНИЯ: держит Hastelloy X, Inconel 617/625/718, Incoloy, Nimonic, Monel в листе/полосе/прутк;https://www.hb-specialalloy.com / http://www.hb-nickelalloy.com;richie@hb-specialalloy.com;+86-180-52779885;;;
СЕГМЕНТ 4 — Материалы (лист/пруток/поковки Hastelloy X, Nimonic 263);•;Wuxi Paike New Materials Technology Co., Ltd. (无锡派克新材料科技股份有限公司, SSE 605123);Китай;Закрывает поковочную часть локализации, которой нет у литеек: раскатные кольца, корпуса/обечайки, диски, фланцы из жаропрочных никелевых спл;http://www.wuxipaike.com;;;;;
