Компания;Страна;Город;Тип;Релевантность;Сайт;Email;Телефон;Дов.
Unisys Group;ОАЭ;Аджман;трейдер + рефурбишмент, камера сгорания / лопатки / покрытия;"Поставка и восстановление деталей тяжёлых ГТУ GE Frame 5, 6, 7, 9 (в т.ч. 9E), Siemens и Alstom: лопатки, сопловые аппараты, жаровые трубы, transition piece, топливные форсунки, cap & liner, crossfire tubes, уплотнения; собственные литьё, покрытия, сварка, механообработка; регион MENA включая Египет.";https://unisysgroup.ae/;sales@unisysgroup.ae;+971 6 881 4801;high
DeveEnergy FZCO;ОАЭ;Дубай;независимый сервис MRO + трейдер, горячая часть;"Независимая сервисная компания по ГТУ: полевой сервис, управление инспекциями, поставка ЗИП и б/у турбин; заявлена специализация по F-класс и 9E-серии (Frame 9E, 9FA), включая инспекции горячего тракта.";https://www.deveenergy.com/;не найдено;не найдено;med
KTS (Khudariah Turbine Services);Саудовская Аравия;Аль-Хобар / Даммам;независимый сервис MRO, лопатки / камера сгорания;"Инспекция горячего и холодного тракта, ремонт и замена роторов, лопаток, сопловых аппаратов и деталей камеры сгорания для ГТУ GE, Westinghouse, MHI и FiatAvio; собственная мастерская в Даммаме.";https://www.ktsco.com.sa/;info@ktsco.com.sa;+966 13 882 5067;med
Control Systems Co. Ltd. (CSC);Саудовская Аравия;Эр-Рияд;независимый сервис MRO, ремонт деталей горячего тракта;"Independent Service Provider для вращающегося оборудования; услуга Hot Gas Path Components Repair для тяжёлых промышленных ГТУ с партнёрскими площадками в Великобритании и ОАЭ.";https://www.csksa.com.sa/;не найдено;+966 11 206 5010;med
Tugran Enerji San. ve Tic. A.S.;Турция;Стамбул (Kartal);независимый сервис MRO, камера сгорания / лопатки;С 2022 г. сервис ГТУ на ПГУ-электростанциях Турции: разборка/сборка ротора, обслуживание горячего тракта и камер сгорания с заменой керамики и форсунок.;https://www.tugranenerji.com/;info@tugranmotor.com.tr;+90 216 451 30 31;med
MAPNA Turbine Blade Eng. & Mfg. Co. (PARTO);Иран;Карадж;завод + литейка + покрытия, лопатки / покрытия;"Производитель лопаток и сопловых аппаратов ГТУ: лицензия Siemens на компоненты V94.2 (ГТЭ-160-класс), затем реверс-инжиниринг GE Frame 9 (9E); собственные литейный, механический и покрывочный цеха (TBC/диффузионные).";https://www.mapnablade.com/;не найдено;+98 26 3619 2000;high
MAPNA Turbine Eng. & Mfg. Co. (TUGA);Иран;Карадж / Тегеран;завод + независимый сервис, лопатки / камера сгорания;"Производство и сервис тяжёлых ГТУ V94.2 (около 200 машин в стране) по лицензиям Siemens и Ansaldo, плюс собственная F-класс MGT-75; изготовление и ремонт камер сгорания, жаровых труб, сопловых аппаратов, рабочих лопаток.";https://www.mapnaturbine.com/;не найдено;не найдено;med
Paya Mavad Technology Co.;Иран;Исфахан;завод + ремонт, лопатки / камера сгорания / материалы;Изготовление и восстановление деталей из жаропрочных суперсплавов для ГТУ Siemens V94.2, Alstom GT11N2 и GT13E2, BBC-13D и GE Frame 5: направляющие и рабочие лопатки, жаровые трубы, inner casing, уплотнительные кольца, роторы и валы.;https://payamavad.com/;не найдено;не найдено;med
Kian TurboTec;Иран;не найдено;независимый сервис MRO, камера сгорания / лопатки;"Капремонт ГТУ: ротор в сборе, камеры сгорания, лопатки и компоненты компрессора; конкретные модели тяжёлых ГТУ на сайте не указаны.";https://kianturbotec.com/;info@kianturbotec.com;не найдено;low
АО «РОТЕК»;Россия;Москва / Екатеринбург (УТЗ);независимый сервис MRO + покрытия, лопатки / камера сгорания / покрытия;"Первый в России Центр восстановления деталей горячего тракта энергетических ГТУ иностранного производства: полный цикл ремонта рабочих и направляющих лопаток, камер сгорания, нанесение жаростойких и теплозащитных покрытий; парк Siemens/ГТЭ-160 (V94.2) и GE.";https://zaorotec.ru/;info@zaorotec.ru;+7 495 644 34 60;high
ООО «Русь-Турбо»;Россия;Санкт-Петербург;независимый сервис MRO, камера сгорания / лопатки;"Независимая сервисная компания по газовым турбинам иностранного производства: капитальный, средний и текущий ремонт ГТЭ-160 (Siemens V94.2), SGT5-2000E, а также SGT-800, SGT-400 и ГТУ GE; локализация и реверс-инжиниринг деталей горячего тракта.";https://russturbo.ru/;info@russturbo.ru;+7 800 201 90 46;high
ООО «ГЭХ Сервис газовых турбин»;Россия;Санкт-Петербург;независимый сервис MRO, камера сгорания / лопатки;"Сервисная компания Газпром энергохолдинга: главные инспекции и ремонт ГТУ Ansaldo AE64.3A, Siemens SGT5-2000E, SGT5-4000F, SGT-800, Alstom GT26 и ГТЭ-160; восстановительный ремонт узлов и деталей горячего тракта.";https://www.gehia.ru/subsidiaries/turbine-service/;не найдено;не найдено;med
АО «Силовые машины»;Россия;Санкт-Петербург;завод + независимый сервис, лопатки / камера сгорания / материалы;"Изготовитель ГТЭ-160 (лицензионный V94.2) и новых ГТЭ-170 и ГТЭ-65; сервис газовых турбин с изготовлением и поставкой запасных частей горячего тракта — рабочие и направляющие лопатки, детали камеры сгорания, роторы.";https://power-m.ru/;pmservice@power-m.ru;+7 800 250 76 59;high
ПАО «ОДК-Сатурн»;Россия;Рыбинск;завод + сервис, лопатки / камера сгорания / материалы;"Разработчик и серийный производитель российской тяжёлой ГТУ ГТД-110М (110 МВт); полный цикл по горячей части — камера сгорания, сопловые и рабочие лопатки, диски, покрытия.";https://www.uecrus.com/;saturn@uec-saturn.ru;+7 4855 329 000;high
АО «РЭП Холдинг»;Россия;Санкт-Петербург;завод + сервис, лопатки / камера сгорания;"Производитель и сервисный подрядчик промышленных ГТУ; полный цикл услуг по производству, модернизации и ремонту газовых турбин большой мощности; СП с Ansaldo Energia (AE94.3A-класс).";https://www.reph.ru/;reph@reph.ru;+7 812 372 58 81;med
ООО «ТСЗП»;Россия;Москва (Щербинка);покрытия, покрытия / материалы;"Газотермическое напыление и лазерная наплавка защитных покрытий; восстановление и ремонт лопаток газовых турбин, теплозащитные покрытия на детали камер сгорания; парк ГТЭ-160/V94.2 и GE.";https://www.tspc.ru/;info@tspc.ru;+7 495 136 41 41;med
